listElement,isInstruction
Subscriber club,0
Wine Club,0
Good Food Shows,0
Recipe Boxes,0
Sustainability,0
Download our App,0
RecipesBack to Main menuNew and trendingBack to RecipesAir-fryers: Do I need to upgrade?Weight loss recipesSummer Taste Awards 2024Is vegan 'meat' healthy?Newsletter recipesBack to RecipesBudget spring recipesCheap veggie mealsSign up todayWhat to cookBack to RecipesQuick and easyEveryday recipesFamily recipesOne potsComfort foodTraybakesAir fryer recipesBatch cookingAll inspirationMeal typeBack to RecipesBreakfastLunchDinnerBrowse all meal typesDiet typeBack to RecipesVeganVegetarianBrowse all diet typesOccasionBack to RecipesSpring recipesDinner party recipesCocktails and drinksBrowse all occasionsExploreBack to RecipesCuisinesChef recipesExplore more,0
Back to Main menu,0
New and trendingBack to RecipesAir-fryers: Do I need to upgrade?Weight loss recipesSummer Taste Awards 2024Is vegan 'meat' healthy?,0
Back to Recipes,0
Air-fryers: Do I need to upgrade?,0
Weight loss recipes,0
Summer Taste Awards 2024,0
Is vegan 'meat' healthy?,0
Newsletter recipesBack to RecipesBudget spring recipesCheap veggie meals,0
Back to Recipes,0
Budget spring recipes,0
Cheap veggie meals,0
Sign up today,0
What to cookBack to RecipesQuick and easyEveryday recipesFamily recipesOne potsComfort foodTraybakesAir fryer recipesBatch cookingAll inspiration,0
Back to Recipes,0
Quick and easy,0
Everyday recipes,0
Family recipes,0
One pots,0
Comfort food,0
Traybakes,0
Air fryer recipes,0
Batch cooking,0
All inspiration,0
Meal typeBack to RecipesBreakfastLunchDinnerBrowse all meal types,0
Back to Recipes,0
Breakfast,0
Lunch,0
Dinner,0
Browse all meal types,0
Diet typeBack to RecipesVeganVegetarianBrowse all diet types,0
Back to Recipes,0
Vegan,0
Vegetarian,0
Browse all diet types,0
OccasionBack to RecipesSpring recipesDinner party recipesCocktails and drinksBrowse all occasions,0
Back to Recipes,0
Spring recipes,0
Dinner party recipes,0
Cocktails and drinks,0
Browse all occasions,0
ExploreBack to RecipesCuisinesChef recipesExplore more,0
Back to Recipes,0
Cuisines,0
Chef recipes,0
Explore more,0
IngredientsBack to Main menuCheeseFish & seafoodFruitNuts & seedsPoultryPulses & grainsRed meat & gameVegetablesBack to IngredientsSearch by ingredient,0
Back to Main menu,0
Cheese,0
Fish & seafood,0
Fruit,0
Nuts & seeds,0
Poultry,0
Pulses & grains,0
Red meat & game,0
VegetablesBack to IngredientsSearch by ingredient,0
Back to Ingredients,0
Search by ingredient,0
HealthBack to Main menuHealth guidesNutritionFitnessDiets and weight lossNutracheckBrowse all healthHealth topicsBack to HealthWellbeingTraining and fitnessVitamins and mineralsBrowse all health topicsHealthy recipesBack to HealthHealthy breakfastsHealthy lunchesHigh-proteinLow-calorieDairy-freeGluten-freeLow sugarBrowse all recipes,0
Back to Main menu,0
Health guides,0
Nutrition,0
Fitness,0
Diets and weight loss,0
Nutracheck,0
Browse all health,0
Health topicsBack to HealthWellbeingTraining and fitnessVitamins and mineralsBrowse all health topics,0
Back to Health,0
Wellbeing,0
Training and fitness,0
Vitamins and minerals,0
Browse all health topics,0
Healthy recipesBack to HealthHealthy breakfastsHealthy lunchesHigh-proteinLow-calorieDairy-freeGluten-freeLow sugarBrowse all recipes,0
Back to Health,0
Healthy breakfasts,0
Healthy lunches,0
High-protein,0
Low-calorie,0
Dairy-free,0
Gluten-free,0
Low sugar,0
Browse all recipes,0
ReviewsBack to Main menuPopularBack to ReviewsPizza oven dealsBest gas BBQsBest collagen supplementsBest coffee beansAppliancesBack to ReviewsBest frying pansBest air fryersBest Ooni pizza ovenBest charcoal barbecuesBest food processorsTaste testsDrinks reviewsGift guidesBrowse all reviews,0
Back to Main menu,0
PopularBack to ReviewsPizza oven dealsBest gas BBQsBest collagen supplementsBest coffee beans,0
Back to Reviews,0
Pizza oven deals,0
Best gas BBQs,0
Best collagen supplements,0
Best coffee beans,0
AppliancesBack to ReviewsBest frying pansBest air fryersBest Ooni pizza ovenBest charcoal barbecuesBest food processors,0
Back to Reviews,0
Best frying pans,0
Best air fryers,0
Best Ooni pizza oven,0
Best charcoal barbecues,0
Best food processors,0
Taste tests,0
Drinks reviews,0
Gift guides,0
Browse all reviews,0
Subscribe,0
Boss the BBQ,0
Subscriber club,0
Wine Club,0
Good Food Shows,0
Recipe Boxes,0
Sustainability,0
Download our App,0
Back to Main menu,0
New and trendingBack to RecipesAir-fryers: Do I need to upgrade?Weight loss recipesSummer Taste Awards 2024Is vegan 'meat' healthy?,0
Back to Recipes,0
Air-fryers: Do I need to upgrade?,0
Weight loss recipes,0
Summer Taste Awards 2024,0
Is vegan 'meat' healthy?,0
Newsletter recipesBack to RecipesBudget spring recipesCheap veggie meals,0
Back to Recipes,0
Budget spring recipes,0
Cheap veggie meals,0
Sign up today,0
What to cookBack to RecipesQuick and easyEveryday recipesFamily recipesOne potsComfort foodTraybakesAir fryer recipesBatch cookingAll inspiration,0
Back to Recipes,0
Quick and easy,0
Everyday recipes,0
Family recipes,0
One pots,0
Comfort food,0
Traybakes,0
Air fryer recipes,0
Batch cooking,0
All inspiration,0
Meal typeBack to RecipesBreakfastLunchDinnerBrowse all meal types,0
Back to Recipes,0
Breakfast,0
Lunch,0
Dinner,0
Browse all meal types,0
Diet typeBack to RecipesVeganVegetarianBrowse all diet types,0
Back to Recipes,0
Vegan,0
Vegetarian,0
Browse all diet types,0
OccasionBack to RecipesSpring recipesDinner party recipesCocktails and drinksBrowse all occasions,0
Back to Recipes,0
Spring recipes,0
Dinner party recipes,0
Cocktails and drinks,0
Browse all occasions,0
ExploreBack to RecipesCuisinesChef recipesExplore more,0
Back to Recipes,0
Cuisines,0
Chef recipes,0
Explore more,0
Back to Recipes,0
Air-fryers: Do I need to upgrade?,0
Weight loss recipes,0
Summer Taste Awards 2024,0
Is vegan 'meat' healthy?,0
Back to Recipes,0
Budget spring recipes,0
Cheap veggie meals,0
Back to Recipes,0
Quick and easy,0
Everyday recipes,0
Family recipes,0
One pots,0
Comfort food,0
Traybakes,0
Air fryer recipes,0
Batch cooking,0
All inspiration,0
Back to Recipes,0
Breakfast,0
Lunch,0
Dinner,0
Browse all meal types,0
Back to Recipes,0
Vegan,0
Vegetarian,0
Browse all diet types,0
Back to Recipes,0
Spring recipes,0
Dinner party recipes,0
Cocktails and drinks,0
Browse all occasions,0
Back to Recipes,0
Cuisines,0
Chef recipes,0
Explore more,0
Back to Main menu,0
Cheese,0
Fish & seafood,0
Fruit,0
Nuts & seeds,0
Poultry,0
Pulses & grains,0
Red meat & game,0
VegetablesBack to IngredientsSearch by ingredient,0
Back to Ingredients,0
Search by ingredient,0
Back to Ingredients,0
Search by ingredient,0
Back to Main menu,0
Health guides,0
Nutrition,0
Fitness,0
Diets and weight loss,0
Nutracheck,0
Browse all health,0
Health topicsBack to HealthWellbeingTraining and fitnessVitamins and mineralsBrowse all health topics,0
Back to Health,0
Wellbeing,0
Training and fitness,0
Vitamins and minerals,0
Browse all health topics,0
Healthy recipesBack to HealthHealthy breakfastsHealthy lunchesHigh-proteinLow-calorieDairy-freeGluten-freeLow sugarBrowse all recipes,0
Back to Health,0
Healthy breakfasts,0
Healthy lunches,0
High-protein,0
Low-calorie,0
Dairy-free,0
Gluten-free,0
Low sugar,0
Browse all recipes,0
Back to Health,0
Wellbeing,0
Training and fitness,0
Vitamins and minerals,0
Browse all health topics,0
Back to Health,0
Healthy breakfasts,0
Healthy lunches,0
High-protein,0
Low-calorie,0
Dairy-free,0
Gluten-free,0
Low sugar,0
Browse all recipes,0
Back to Main menu,0
PopularBack to ReviewsPizza oven dealsBest gas BBQsBest collagen supplementsBest coffee beans,0
Back to Reviews,0
Pizza oven deals,0
Best gas BBQs,0
Best collagen supplements,0
Best coffee beans,0
AppliancesBack to ReviewsBest frying pansBest air fryersBest Ooni pizza ovenBest charcoal barbecuesBest food processors,0
Back to Reviews,0
Best frying pans,0
Best air fryers,0
Best Ooni pizza oven,0
Best charcoal barbecues,0
Best food processors,0
Taste tests,0
Drinks reviews,0
Gift guides,0
Browse all reviews,0
Back to Reviews,0
Pizza oven deals,0
Best gas BBQs,0
Best collagen supplements,0
Best coffee beans,0
Back to Reviews,0
Best frying pans,0
Best air fryers,0
Best Ooni pizza oven,0
Best charcoal barbecues,0
Best food processors,0
Home,0
Recipes,0
The best spaghetti bolognese recipe,0
Andrew Balmer,0
Preparation and cooking timePrep:25 minsCook:1 hr and 50 mins,0
Prep:25 mins,0
Cook:1 hr and 50 mins,0
Easy,0
Serves 6,0
Prep:25 mins,0
Cook:1 hr and 50 mins,0
Freezable (sauce only),0
1 tbsp olive oil,0
"4 rashers smoked streaky bacon,  finely chopped",0
"2 medium onions, finely chopped",0
"2 carrots, trimmed and finely chopped",0
"2 celery sticks, finely chopped",0
2 garlic cloves finely chopped,0
2-3 sprigs rosemary leaves picked and finely chopped,0
500g beef mince,0
2 x 400g tins plum tomatoes,0
"small pack basil leaves picked, � finely chopped and the rest left whole for garnish",0
1 tsp dried oregano,0
2 fresh bay leaves,0
2 tbsp tomato pur�e,0
1 beef stock cube,0
1 red chilli deseeded and finely chopped (optional),0
125ml red wine,0
6 cherry tomatoes sliced in half,0
"75g parmesan grated, plus extra to serve",0
400g spaghetti,0
crusty bread to serve (optional),0
STEP 1Put a large saucepan on a medium heat and add 1 tbsp olive oil.,1
STEP 2Add 4 finely chopped bacon rashers and fry for 10 mins until golden and crisp.,1
"STEP 3Reduce the heat and add the 2 onions, 2 carrots, 2 celery sticks, 2 garlic cloves and the leaves from 2-3 sprigs rosemary, all finely chopped, then fry for 10 mins. Stir the veg often until it softens.",1
"STEP 4Increase the heat to medium-high, add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over.",1
"STEP 5Add 2 tins plum tomatoes, the finely chopped leaves from � small pack basil, 1 tsp dried oregano, 2 bay leaves, 2 tbsp tomato pur�e, 1 beef stock cube, 1 deseeded and finely chopped red chilli (if using), 125ml red wine and 6 halved cherry tomatoes. Stir with a wooden spoon, breaking up the plum tomatoes.",1
"STEP 6Bring to the boil, reduce to a gentle simmer and cover with a lid. Cook for 1 hr 15 mins stirring occasionally, until you have a rich, thick sauce.",1
"STEP 7Add the 75g grated parmesan, check the seasoning and stir.",1
"STEP 8When the bolognese is nearly finished, cook 400g spaghetti following the pack instructions.",1
"STEP 9Drain the spaghetti and either stir into the bolognese sauce, or serve the sauce on top. Serve with more grated parmesan, the remaining basil leaves and crusty bread, if you like.",1
Visit us on Facebook,0
Visit us on Twitter,0
Visit us on Instagram,0
Visit us on Pinterest,0
Visit us on Youtube,0
Visit us on Tiktok,0
Visit us on Rss,0
About us,0
Contact Us,0
Privacy Policy,0
Terms & Conditions,0
Cookies Policy,0
Complaints escalation,0
Advertise,0
Manage Privacy Settings,0
Nutracheck.co.uk,0
OliveMagazine.com,0
RadioTimes.com,0
HistoryExtra.com,0
GardenersWorld.com,0
MadeForMums.com,0
TheRecommended.com,0
Barbecue,0
Dietary needs,0
Healthy eating,0
Seasonal,0
"Bread, pastry & cakes",0
Dinner ideas,0
Nuts & seeds,0
Soups,0
Breakfast,0
Dinner party,0
Poultry,0
Special occasions,0
Casserole & slow cooker,0
Drinks,0
Pulses & grains,0
Sweet treats,0
Cheese,0
Easter,0
Quick & easy budget meals,0
Vegan,0
Christmas,0
Family friendly,0
Red meat & game,0
Vegetables,0
Cuisine,0
Fish & seafood,0
Religious events,0
Vegetarian,0
Desserts,0
Fruit,0
Salads,0
"Combine the beans, water, and unsweetened coconut milk in a medium pot.�",1
Bring the mixture to a boil and then add the remaining ingredients. Allow the mixture to come back to a boil uncovered.,1
"Once at a boil, reduce to a simmer and cover the pot with a lid.",1
"Cook until the water is evaporated and the rice is cooked through, about 15-20 minutes.",1
